total_sales,na_sales,jp_sales,pal_sales,other_sales,critic_score,release_year
1.49,0.75,0.09,0.53,0.13,8.2,2010.0
1.49,0.5,0.04,0.7,0.25,7.0,2010.0
1.48,0.53,0.06,0.57,0.32,7.5,2012.0
1.48,0.82,0.01,0.51,0.14,6.6,2008.0
1.48,0.94,0.02,0.4,0.13,7.5,2012.0
1.47,1.01,0.01,0.31,0.14,7.5,2016.0
1.47,1.33,0.01,0.03,0.1,8.6,2006.0
1.47,0.5,0.38,0.49,0.09,5.5,2016.0
1.46,1.17,0.04,0.2,0.05,7.5,1998.0
1.46,0.46,0.0,0.82,0.17,7.5,2008.0
1.46,0.81,0.04,0.46,0.15,8.6,2008.0
1.46,0.65,0.03,0.58,0.2,8.9,2012.0
